Client Doctor Code,Campaign Start Date (Month Year),HCP Email Open Rate,HCP WhatsApp Read Rate,HCP Email Click Rate,HCP WhatsApp Click Rate,HCP Call Productive Rate,Last Call Connected Date (Selected Month),Average Duration Connected Calls
AS005708,"February, 2025",,100.00%,,,,,
AS005774,"February, 2025",100.00%,75.00%,,,,,
AS005778,"February, 2025",,100.00%,,,,,
AS005874,"February, 2025",80.00%,100.00%,,,,,
AS005881,"February, 2025",100.00%,100.00%,,,,,
AS005970,"February, 2025",,100.00%,,,,,
AS006029,"February, 2025",,100.00%,,,,,
AS006057,"February, 2025",80.00%,80.00%,,,,,
AS006060,"February, 2025",60.00%,,,,,,
AS006085,"February, 2025",,40.00%,,,,,
AS006107,"February, 2025",,16.67%,,16.67%,,,
AS006225,"February, 2025",100.00%,100.00%,,,,,
AS006344,"February, 2025",100.00%,,,,,,
AS006482,"February, 2025",,75.00%,,,,,
AS006544,"February, 2025",100.00%,100.00%,,33.33%,,,
AS006585,"February, 2025",100.00%,,,,,,
AS006621,"February, 2025",,100.00%,,,,,
AS006816,"February, 2025",,100.00%,,,,,
AS006832,"February, 2025",60.00%,25.00%,,,,,
AS006961,"February, 2025",60.00%,,,,,,
AS006992,"February, 2025",100.00%,100.00%,,25.00%,,,
AS007040,"February, 2025",100.00%,100.00%,,,,,
AS007061,"February, 2025",,50.00%,,,,,
AS007068,"February, 2025",,100.00%,,,,,
AS007084,"February, 2025",100.00%,,,,,,
AS007088,"February, 2025",60.00%,100.00%,,,,,
AS007092,"February, 2025",100.00%,100.00%,,,,,
AS007103,"February, 2025",100.00%,100.00%,,,,,
AS007118,"February, 2025",100.00%,25.00%,,,,,
AS007171,"February, 2025",80.00%,,,,,,
AS007185,"February, 2025",100.00%,100.00%,,,,,
AS007208,"February, 2025",100.00%,25.00%,,,,,
